algorithm,property,clients,ops,seeds,violations,errors,timeouts,violation_rate,first_violation_seed,error_kind,aborted,seconds
dopt,convergence,3,5,400,144,0,0,0.36,2,,0,0.03
got,convergence,3,5,400,9,0,0,0.0225,24,,0,0.08
lbt,convergence,3,5,400,2,0,0,0.005,51,,0,0.09
sdt,convergence,3,5,400,1,0,0,0.0025,217,,0,0.06
dopt,convergence,3,15,400,383,0,0,0.9575,1,,0,0.18
soct2,convergence,3,5,400,0,0,0,0.0,0,,0,0.06
got,convergence,3,15,400,81,0,0,0.2025,2,,0,0.31
soct2,convergence,3,15,400,0,0,0,0.0,0,,0,0.19
soct3,convergence,3,5,400,0,0,0,0.0,0,,0,0.09
lbt,convergence,3,15,400,64,0,0,0.16,2,,0,0.58
soct3,convergence,3,15,400,0,0,0,0.0,0,,0,0.33
dopt,convergence,3,50,400,400,0,0,1.0,1,,0,0.95
sdt,convergence,3,15,400,34,0,0,0.085,2,,0,0.88
soct2,convergence,3,50,400,0,0,0,0.0,0,,0,0.97
adopted-ellis,convergence,3,5,400,30,0,0,0.075,11,,0,0.08
sync7,convergence,3,5,400,0,0,0,0.0,0,,0,0.57
adopted-ellis,convergence,3,15,400,274,0,0,0.685,2,,0,0.44
adopted-ressel,convergence,3,5,400,1,0,0,0.0025,217,,0,0.07
adopted-ressel,convergence,3,15,400,12,0,0,0.03,40,,0,0.46
soct3,convergence,3,50,400,0,0,0,0.0,0,,0,2.47
adopted-suleiman,convergence,3,5,400,15,0,0,0.0375,13,,0,0.11
adopted-suleiman,convergence,3,15,400,35,0,0,0.0875,9,,0,0.76
sync7,convergence,3,15,400,9,0,0,0.0225,43,,0,3.65
adopted-imor,convergence,3,5,400,13,0,0,0.0325,13,,0,0.11
adopted-imor,convergence,3,15,400,18,0,0,0.045,17,,0,0.74
got,convergence,3,50,400,234,0,0,0.585,1,,0,7.31
adopted-ellis,convergence,3,50,400,399,0,0,0.9975,1,,0,7.04
lbt,convergence,3,50,400,352,0,0,0.88,2,,0,8.68
adopted-ressel,convergence,3,50,400,112,0,0,0.28,8,,0,7.06
adopted-suleiman,convergence,3,50,400,197,0,0,0.4925,1,,0,8.51
adopted-imor,convergence,3,50,400,138,0,0,0.345,3,,0,8.27
sdt,convergence,3,50,400,303,0,0,0.7575,3,,0,17.75
sync7,convergence,3,50,400,31,0,0,0.0775,1,,0,21.88
dopt,weak-list-spec,3,5,400,146,0,0,0.365,2,,0,0.06
got,weak-list-spec,3,5,400,47,0,0,0.1175,11,,0,0.09
lbt,weak-list-spec,3,5,400,2,0,0,0.005,51,,0,0.14
sdt,weak-list-spec,3,5,400,1,0,0,0.0025,217,,0,0.11
dopt,weak-list-spec,3,15,400,388,0,0,0.97,1,,0,0.23
soct2,weak-list-spec,3,5,400,0,0,0,0.0,0,,0,0.1
got,weak-list-spec,3,15,400,266,0,0,0.665,1,,0,0.68
soct2,weak-list-spec,3,15,400,0,0,0,0.0,0,,0,0.45
lbt,weak-list-spec,3,15,400,73,0,0,0.1825,2,,0,0.89
sdt,weak-list-spec,3,15,400,45,0,0,0.1125,2,,0,0.97
sync7,weak-list-spec,3,5,400,11,0,0,0.0275,47,,0,0.5
dopt,weak-list-spec,3,50,400,400,0,0,1.0,1,,0,1.28
