algorithm,property,clients,depth,traces,violations,seconds,complete,note
rga,convergence,2,2,12,0,0.002555,1,
rga,convergence,2,3,74,0,0.017635,1,
rga,convergence,2,4,562,0,0.13386,1,
rga,convergence,2,5,5078,0,1.451654,1,
rga,convergence,2,6,53422,0,18.651683,1,
rga,convergence,2,7,637536,0,272.325896,1,
rga,convergence,3,2,24,0,0.006646,1,
rga,convergence,3,3,207,0,0.07064,1,
rga,convergence,3,4,2166,0,0.845953,1,
rga,convergence,3,5,26571,0,14.28782,1,
rga,convergence,3,6,372042,0,193.736329,1,
rga,convergence,4,2,40,0,0.014233,1,
rga,convergence,4,3,444,0,0.153854,1,
rga,convergence,4,4,5940,0,2.395235,1,
rga,convergence,4,5,92524,0,43.413631,1,
