algorithm,property,clients,ops,replicate,block_size,from_seed,first_violation,seeds_used,errors,timeouts,seconds
cot,strong-list-spec,3,10,4,5000,20001,94,94,0,0,0.29
cot,strong-list-spec,3,10,6,5000,30001,95,95,0,0,0.32
cot,strong-list-spec,3,10,3,5000,15001,116,116,0,0,0.42
cot,strong-list-spec,3,10,10,5000,50001,41,41,0,0,0.14
cot,strong-list-spec,3,10,2,5000,10001,193,193,0,0,0.61
cot,strong-list-spec,3,10,12,5000,60001,28,28,0,0,0.14
cot,strong-list-spec,3,10,8,5000,40001,158,158,0,0,0.53
cot,strong-list-spec,3,10,14,5000,70001,24,24,0,0,0.05
cot,strong-list-spec,3,10,5,5000,25001,245,245,0,0,0.95
cot,strong-list-spec,3,10,0,5000,1,365,365,0,0,1.22
cot,strong-list-spec,3,10,9,5000,45001,401,401,0,0,0.99
cot,strong-list-spec,3,10,15,5000,75001,252,252,0,0,0.52
cot,strong-list-spec,3,10,19,5000,95001,24,24,0,0,0.03
cot,strong-list-spec,3,10,7,5000,35001,553,553,0,0,1.53
cot,strong-list-spec,3,10,13,5000,65001,434,434,0,0,0.93
cot,strong-list-spec,3,10,18,5000,90001,152,152,0,0,0.39
cot,strong-list-spec,3,10,16,5000,80001,321,321,0,0,0.97
cot,strong-list-spec,3,10,22,5000,110001,158,158,0,0,0.32
cot,strong-list-spec,3,10,1,5000,5001,671,671,0,0,2.09
cot,strong-list-spec,3,10,26,5000,130001,83,83,0,0,0.15
cot,strong-list-spec,3,10,25,5000,125001,146,146,0,0,0.27
cot,strong-list-spec,3,10,21,5000,105001,384,384,0,0,0.89
cot,strong-list-spec,3,10,23,5000,115001,272,272,0,0,0.74
cot,strong-list-spec,3,10,11,5000,55001,702,702,0,0,1.95
cot,strong-list-spec,3,10,17,5000,85001,605,605,0,0,1.36
cot,strong-list-spec,3,10,30,5000,150001,63,63,0,0,0.12
cot,strong-list-spec,3,10,24,5000,120001,379,379,0,0,0.71
cot,strong-list-spec,3,10,34,5000,170001,4,4,0,0,0.01
cot,strong-list-spec,3,10,35,5000,175001,12,12,0,0,0.02
cot,strong-list-spec,3,10,28,5000,140001,208,208,0,0,0.42
cot,strong-list-spec,3,10,37,5000,185001,5,5,0,0,0.01
cot,strong-list-spec,3,10,33,5000,165001,54,54,0,0,0.11
cot,strong-list-spec,3,10,38,5000,190001,7,7,0,0,0.01
cot,strong-list-spec,3,10,36,5000,180001,20,20,0,0,0.05
cot,strong-list-spec,3,10,32,5000,160001,186,186,0,0,0.41
cot,strong-list-spec,3,10,29,5000,145001,248,248,0,0,0.52
cot,strong-list-spec,3,10,41,5000,205001,158,158,0,0,0.27
cot,strong-list-spec,3,10,20,5000,100001,777,777,0,0,1.7
cot,strong-list-spec,3,10,27,5000,135001,458,458,0,0,1.02
cot,strong-list-spec,3,10,43,5000,215001,230,230,0,0,0.53
cot,strong-list-spec,3,10,44,5000,220001,259,259,0,0,0.57
cot,strong-list-spec,3,10,31,5000,155001,535,535,0,0,1.09
cot,strong-list-spec,3,10,46,5000,230001,248,248,0,0,0.49
cot,strong-list-spec,3,10,39,5000,195001,451,451,0,0,1.09
cot,strong-list-spec,3,10,45,5000,225001,204,204,0,0,0.66
cot,strong-list-spec,3,10,42,5000,210001,381,381,0,0,0.88
cot,strong-list-spec,3,10,40,5000,200001,448,448,0,0,1.14
cot,strong-list-spec,3,10,54,5000,270001,9,9,0,0,0.04
cot,strong-list-spec,3,10,47,5000,235001,146,146,0,0,0.38
cot,strong-list-spec,3,10,55,5000,275001,4,4,0,0,0.01
cot,strong-list-spec,3,10,49,5000,245001,124,124,0,0,0.36
cot,strong-list-spec,3,10,58,5000,290001,2,2,0,0,0.0
cot,strong-list-spec,3,10,59,5000,295001,30,30,0,0,0.07
cot,strong-list-spec,3,10,60,5000,300001,53,53,0,0,0.18
cot,strong-list-spec,3,10,57,5000,285001,204,204,0,0,0.51
cot,strong-list-spec,3,10,48,5000,240001,418,418,0,0,0.96
cot,strong-list-spec,3,10,53,5000,265001,376,376,0,0,0.72
cot,strong-list-spec,3,10,64,5000,320001,34,34,0,0,0.07
cot,strong-list-spec,3,10,56,5000,280001,330,330,0,0,0.81
cot,strong-list-spec,3,10,63,5000,315001,107,107,0,0,0.27
cot,strong-list-spec,3,10,50,5000,250001,515,515,0,0,1.07
cot,strong-list-spec,3,10,51,5000,255001,663,663,0,0,1.28
cot,strong-list-spec,3,10,66,5000,330001,163,163,0,0,0.39
cot,strong-list-spec,3,10,67,5000,335001,122,122,0,0,0.35
cot,strong-list-spec,3,10,65,5000,325001,221,221,0,0,0.51
cot,strong-list-spec,3,10,68,5000,340001,171,171,0,0,0.39
cot,strong-list-spec,3,10,72,5000,360001,76,76,0,0,0.24
cot,strong-list-spec,3,10,62,5000,310001,399,399,0,0,1.06
cot,strong-list-spec,3,10,71,5000,355001,148,148,0,0,0.42
cot,strong-list-spec,3,10,69,5000,345001,326,326,0,0,0.82
cot,strong-list-spec,3,10,74,5000,370001,267,267,0,0,0.72
cot,strong-list-spec,3,10,52,5000,260001,947,947,0,0,2.38
cot,strong-list-spec,3,10,73,5000,365001,485,485,0,0,1.11
cot,strong-list-spec,3,10,70,5000,350001,497,497,0,0,1.22
cot,strong-list-spec,3,10,75,5000,375001,301,301,0,0,0.86
cot,strong-list-spec,3,10,76,5000,380001,400,400,0,0,0.87
cot,strong-list-spec,3,10,81,5000,405001,44,44,0,0,0.13
cot,strong-list-spec,3,10,84,5000,420001,35,35,0,0,0.09
cot,strong-list-spec,3,10,77,5000,385001,392,392,0,0,0.8
cot,strong-list-spec,3,10,85,5000,425001,53,53,0,0,0.16
cot,strong-list-spec,3,10,61,5000,305001,1199,1199,0,0,2.64
cot,strong-list-spec,3,10,80,5000,400001,210,210,0,0,0.58
cot,strong-list-spec,3,10,88,5000,440001,33,33,0,0,0.05
cot,strong-list-spec,3,10,89,5000,445001,9,9,0,0,0.03
cot,strong-list-spec,3,10,83,5000,415001,251,251,0,0,0.51
cot,strong-list-spec,3,10,86,5000,430001,101,101,0,0,0.3
cot,strong-list-spec,3,10,90,5000,450001,149,149,0,0,0.28
cot,strong-list-spec,3,10,93,5000,465001,76,76,0,0,0.21
cot,strong-list-spec,3,10,94,5000,470001,53,53,0,0,0.09
cot,strong-list-spec,3,10,96,5000,480001,125,125,0,0,0.24
cot,strong-list-spec,3,10,87,5000,435001,350,350,0,0,0.86
cot,strong-list-spec,3,10,97,5000,485001,50,50,0,0,0.1
cot,strong-list-spec,3,10,99,5000,495001,77,77,0,0,0.14
cot,strong-list-spec,3,10,78,5000,390001,722,722,0,0,1.7
cot,strong-list-spec,3,10,92,5000,460001,404,404,0,0,0.89
cot,strong-list-spec,3,10,98,5000,490001,157,157,0,0,0.4
cot,strong-list-spec,3,10,91,5000,455001,378,378,0,0,1.11
cot,strong-list-spec,3,10,101,5000,505001,165,165,0,0,0.44
cot,strong-list-spec,3,10,100,5000,500001,228,228,0,0,0.57
cot,strong-list-spec,3,10,104,5000,520001,208,208,0,0,0.37
cot,strong-list-spec,3,10,103,5000,515001,227,227,0,0,0.51
cot,strong-list-spec,3,10,95,5000,475001,442,442,0,0,1.36
cot,strong-list-spec,3,10,105,5000,525001,143,143,0,0,0.33
cot,strong-list-spec,3,10,106,5000,530001,176,176,0,0,0.46
cot,strong-list-spec,3,10,109,5000,545001,92,92,0,0,0.28
cot,strong-list-spec,3,10,108,5000,540001,174,174,0,0,0.42
cot,strong-list-spec,3,10,79,5000,395001,1039,1039,0,0,2.73
cot,strong-list-spec,3,10,102,5000,510001,517,517,0,0,1.26
cot,strong-list-spec,3,10,113,5000,565001,74,74,0,0,0.22
cot,strong-list-spec,3,10,82,5000,410001,1119,1119,0,0,2.85
cot,strong-list-spec,3,10,117,5000,585001,23,23,0,0,0.05
cot,strong-list-spec,3,10,118,5000,590001,165,165,0,0,0.36
cot,strong-list-spec,3,10,116,5000,580001,202,202,0,0,0.49
cot,strong-list-spec,3,10,112,5000,560001,364,364,0,0,0.79
cot,strong-list-spec,3,10,119,5000,595001,85,85,0,0,0.18
cot,strong-list-spec,3,10,115,5000,575001,247,247,0,0,0.79
cot,strong-list-spec,3,10,107,5000,535001,678,678,0,0,1.52
cot,strong-list-spec,3,10,124,5000,620001,37,37,0,0,0.07
cot,strong-list-spec,3,10,125,5000,625001,9,9,0,0,0.03
cot,strong-list-spec,3,10,110,5000,550001,626,626,0,0,1.56
cot,strong-list-spec,3,10,121,5000,605001,203,203,0,0,0.51
cot,strong-list-spec,3,10,126,5000,630001,72,72,0,0,0.15
cot,strong-list-spec,3,10,127,5000,635001,28,28,0,0,0.08
cot,strong-list-spec,3,10,123,5000,615001,141,141,0,0,0.34
cot,strong-list-spec,3,10,122,5000,610001,179,179,0,0,0.51
cot,strong-list-spec,3,10,129,5000,645001,96,96,0,0,0.17
cot,strong-list-spec,3,10,131,5000,655001,59,59,0,0,0.13
cot,strong-list-spec,3,10,111,5000,555001,642,642,0,0,1.59
cot,strong-list-spec,3,10,133,5000,665001,94,94,0,0,0.26
cot,strong-list-spec,3,10,114,5000,570001,831,831,0,0,1.92
cot,strong-list-spec,3,10,132,5000,660001,261,261,0,0,0.62
cot,strong-list-spec,3,10,134,5000,670001,292,292,0,0,0.56
cot,strong-list-spec,3,10,137,5000,685001,71,71,0,0,0.12
cot,strong-list-spec,3,10,140,5000,700001,23,23,0,0,0.05
cot,strong-list-spec,3,10,120,5000,600001,570,570,0,0,1.43
cot,strong-list-spec,3,10,138,5000,690001,94,94,0,0,0.18
cot,strong-list-spec,3,10,128,5000,640001,344,344,0,0,1.18
cot,strong-list-spec,3,10,143,5000,715001,138,138,0,0,0.24
cot,strong-list-spec,3,10,142,5000,710001,201,201,0,0,0.42
cot,strong-list-spec,3,10,145,5000,725001,222,222,0,0,0.4
cot,strong-list-spec,3,10,147,5000,735001,15,15,0,0,0.03
cot,strong-list-spec,3,10,148,5000,740001,37,37,0,0,0.07
cot,strong-list-spec,3,10,139,5000,695001,497,497,0,0,0.92
cot,strong-list-spec,3,10,146,5000,730001,193,193,0,0,0.46
cot,strong-list-spec,3,10,144,5000,720001,313,313,0,0,0.82
cot,strong-list-spec,3,10,141,5000,705001,513,513,0,0,1.14
cot,strong-list-spec,3,10,149,5000,745001,216,216,0,0,0.46
cot,strong-list-spec,3,10,136,5000,680001,817,817,0,0,1.76
cot,strong-list-spec,3,10,154,5000,770001,78,78,0,0,0.17
cot,strong-list-spec,3,10,151,5000,755001,289,289,0,0,0.56
cot,strong-list-spec,3,10,150,5000,750001,405,405,0,0,0.98
cot,strong-list-spec,3,10,130,5000,650001,1009,1009,0,0,2.75
cot,strong-list-spec,3,10,153,5000,765001,350,350,0,0,0.87
cot,strong-list-spec,3,10,152,5000,760001,447,447,0,0,0.91
