algorithm,property,clients,ops,seeds,violations,errors,timeouts,violation_rate,first_violation_seed,error_kind,aborted,seconds
diffsync,convergence,3,50,2000,0,0,0,0.0,0,,0,19.78
diffsync,weak-list-spec,3,50,2000,1946,0,0,0.973,1,,0,21.13
adopted-tm11,interleaving,3,50,2000,625,0,0,0.3125,4,,0,28.09
adopted-tm11,convergence,3,50,2000,0,0,0,0.0,0,,0,28.81
prosemirror,convergence,3,50,2000,0,0,0,0.0,0,,0,3.87
adopted-tm11,forward-interleaving,3,50,2000,407,0,0,0.2035,5,,0,32.69
adopted-tm11,strong-list-spec,3,50,2000,2000,0,0,1.0,1,,0,33.35
prosemirror,weak-list-spec,3,50,2000,348,0,0,0.174,1,,0,7.75
adopted-tm11,weak-list-spec,3,50,2000,2000,0,0,1.0,1,,0,36.71
prosemirror,interleaving,3,50,2000,1413,0,0,0.7065,4,,0,6.69
prosemirror,strong-list-spec,3,50,2000,400,0,0,0.2,1,,0,9.15
prosemirror,forward-interleaving,3,50,2000,1413,0,0,0.7065,4,,0,9.85
diffsync,strong-list-spec,3,50,2000,1966,0,0,0.983,1,,0,55.07
diffsync,forward-interleaving,3,50,2000,1577,0,0,0.7885,1,,0,41.98
pot,convergence,3,50,2000,0,0,0,0.0,0,,0,7.4
diffsync,interleaving,3,50,2000,1641,0,0,0.8205,1,,0,41.43
pot,forward-interleaving,3,50,2000,337,0,0,0.1685,4,,0,10.77
pot,strong-list-spec,3,50,2000,455,0,0,0.2275,1,,0,16.03
pot,weak-list-spec,3,50,2000,0,0,0,0.0,0,,0,20.28
cot,forward-interleaving,3,50,2000,337,0,0,0.1685,4,,0,42.02
easysync,convergence,3,50,2000,0,0,0,0.0,0,,0,6.28
pot,interleaving,3,50,2000,481,0,0,0.2405,4,,0,15.25
cot,convergence,3,50,2000,0,0,0,0.0,0,,0,55.4
easysync,weak-list-spec,3,50,2000,0,0,0,0.0,0,,0,10.8
jupiter,convergence,3,50,2000,0,0,0,0.0,0,,0,2.99
easysync,interleaving,3,50,2000,1931,0,0,0.9655,1,,0,8.11
cot,interleaving,3,50,2000,481,0,0,0.2405,4,,0,54.26
easysync,forward-interleaving,3,50,2000,1739,0,0,0.8695,1,,0,12.16
easysync,strong-list-spec,3,50,2000,280,0,0,0.14,2,,0,14.71
sharedb,convergence,3,50,2000,0,0,0,0.0,0,,0,3.43
cot,strong-list-spec,3,50,2000,455,0,0,0.2275,1,,0,60.93
jupiter,interleaving,3,50,2000,1874,0,0,0.937,1,,0,4.28
cot,weak-list-spec,3,50,2000,0,0,0,0.0,0,,0,68.73
jupiter,strong-list-spec,3,50,2000,668,0,0,0.334,5,,0,10.77
sharedb,interleaving,3,50,2000,1800,0,0,0.9,2,,0,5.29
sharedb,forward-interleaving,3,50,2000,0,0,0,0.0,0,,0,5.92
jupiter,forward-interleaving,3,50,2000,0,0,0,0.0,0,,0,12.28
sharedb,strong-list-spec,3,50,2000,256,0,0,0.128,5,,0,9.95
sharedb,weak-list-spec,3,50,2000,0,0,0,0.0,0,,0,12.53
tibot,convergence,3,50,2000,0,0,0,0.0,0,,0,6.96
jupiter,weak-list-spec,3,50,2000,0,0,0,0.0,0,,0,19.61
tibot,forward-interleaving,3,50,2000,0,0,0,0.0,0,,0,6.64
tibot2,convergence,3,50,2000,0,0,0,0.0,0,,0,3.84
tibot,weak-list-spec,3,50,2000,0,0,0,0.0,0,,0,8.62
tibot,interleaving,3,50,2000,1539,0,0,0.7695,1,,0,6.02
tibot,strong-list-spec,3,50,2000,259,0,0,0.1295,22,,0,10.95
tibot2,interleaving,3,50,2000,1539,0,0,0.7695,1,,0,6.03
tibot2,forward-interleaving,3,50,2000,0,0,0,0.0,0,,0,10.3
tibot2,strong-list-spec,3,50,2000,259,0,0,0.1295,22,,0,11.8
