algorithm,property,strategy,clients,ops,depth,seed,outcome,seconds,work
abt,forward-interleaving,random,3,30,5,1,found,0.027538,10
abt,forward-interleaving,bfs,3,30,5,1,found,0.350358,3373
abt,forward-interleaving,dfs,3,30,5,1,found,0.815472,7958
abt,forward-interleaving,bfs-random,3,30,5,1,found,0.500533,4650
abt,forward-interleaving,dfs-random,3,30,5,1,found,0.050497,477
abt,interleaving,random,3,30,5,1,found,0.032031,10
abt,interleaving,bfs,3,30,5,1,found,0.3696,3373
abt,interleaving,dfs,3,30,5,1,found,0.272564,2619
abt,interleaving,bfs-random,3,30,5,1,found,0.152697,1404
abt,interleaving,dfs-random,3,30,5,1,found,0.051603,477
adopted-ellis,convergence,random,3,30,5,1,found,0.004035,1
adopted-ellis,convergence,bfs,3,30,5,1,found,0.093363,358
adopted-ellis,convergence,dfs,3,30,5,1,found,0.00706,28
adopted-ellis,convergence,bfs-random,3,30,5,1,found,0.096206,361
adopted-ellis,convergence,dfs-random,3,30,5,1,found,0.00847,37
adopted-imor,convergence,random,3,30,5,1,found,0.015699,4
adopted-imor,convergence,bfs,3,30,5,1,found,0.001338,7
adopted-imor,convergence,dfs,3,30,5,1,found,0.000605,4
adopted-imor,convergence,bfs-random,3,30,5,1,found,0.001012,5
adopted-imor,convergence,dfs-random,3,30,5,1,found,0.00075,5
adopted-randolph,forward-interleaving,random,3,30,5,1,found,0.00228,1
adopted-randolph,forward-interleaving,bfs,3,30,5,1,found,0.454631,3373
adopted-randolph,forward-interleaving,dfs,3,30,5,1,found,1.076246,7958
adopted-randolph,forward-interleaving,bfs-random,3,30,5,1,found,0.584897,4650
adopted-randolph,forward-interleaving,dfs-random,3,30,5,1,found,0.065564,477
adopted-randolph,interleaving,random,3,30,5,1,found,0.002406,1
adopted-randolph,interleaving,bfs,3,30,5,1,found,0.466749,3373
adopted-randolph,interleaving,dfs,3,30,5,1,found,0.369931,2619
adopted-randolph,interleaving,bfs-random,3,30,5,1,found,0.171236,1404
adopted-randolph,interleaving,dfs-random,3,30,5,1,found,0.064731,477
adopted-ressel,convergence,random,3,30,5,1,found,0.014186,4
adopted-ressel,convergence,bfs,3,30,5,1,found,6.63165,16145
adopted-ressel,convergence,dfs,3,30,5,1,found,0.088739,223
adopted-ressel,convergence,bfs-random,3,30,5,1,found,1.977347,4554
adopted-ressel,convergence,dfs-random,3,30,5,1,found,4.823562,10612
adopted-ressel,weak-list-spec,random,3,30,5,1,found,0.018495,4
adopted-ressel,weak-list-spec,bfs,3,30,5,1,exhausted,4.505897,26571
adopted-ressel,weak-list-spec,dfs,3,30,5,1,exhausted,4.172309,26571
adopted-ressel,weak-list-spec,bfs-random,3,30,5,1,exhausted,4.29663,26571
adopted-ressel,weak-list-spec,dfs-random,3,30,5,1,exhausted,4.280302,26571
adopted-suleiman,convergence,random,3,30,5,1,found,0.008445,2
adopted-suleiman,convergence,bfs,3,30,5,1,found,0.001263,7
adopted-suleiman,convergence,dfs,3,30,5,1,found,0.000715,4
adopted-suleiman,convergence,bfs-random,3,30,5,1,found,0.001193,5
adopted-suleiman,convergence,dfs-random,3,30,5,1,found,0.000786,5
adopted-tm11,forward-interleaving,random,3,30,5,1,found,0.010662,5
adopted-tm11,forward-interleaving,bfs,3,30,5,1,found,0.986142,8168
adopted-tm11,forward-interleaving,dfs,3,30,5,1,found,0.314893,2608
adopted-tm11,forward-interleaving,bfs-random,3,30,5,1,found,0.179667,1395
adopted-tm11,forward-interleaving,dfs-random,3,30,5,1,found,0.583636,4578
adopted-tm11,interleaving,random,3,30,5,1,found,0.016679,5
adopted-tm11,interleaving,bfs,3,30,5,1,found,0.397886,3362
adopted-tm11,interleaving,dfs,3,30,5,1,found,0.342317,2608
adopted-tm11,interleaving,bfs-random,3,30,5,1,found,0.198089,1395
adopted-tm11,interleaving,dfs-random,3,30,5,1,found,0.070055,487
adopted-tm11,strong-list-spec,random,3,30,5,1,found,0.004436,1
adopted-tm11,strong-list-spec,bfs,3,30,5,1,found,0.041484,406
adopted-tm11,strong-list-spec,dfs,3,30,5,1,found,0.020159,129
adopted-tm11,strong-list-spec,bfs-random,3,30,5,1,found,0.030984,315
adopted-tm11,strong-list-spec,dfs-random,3,30,5,1,found,0.001477,16
adopted-tm11,weak-list-spec,random,3,30,5,1,found,0.009862,1
adopted-tm11,weak-list-spec,bfs,3,30,5,1,found,0.042827,406
adopted-tm11,weak-list-spec,dfs,3,30,5,1,found,0.015596,129
adopted-tm11,weak-list-spec,bfs-random,3,30,5,1,found,0.033249,315
adopted-tm11,weak-list-spec,dfs-random,3,30,5,1,found,0.001612,16
adopted-tombstone,forward-interleaving,random,3,30,5,1,found,0.076967,10
adopted-tombstone,forward-interleaving,bfs,3,30,5,1,found,0.461969,3373
adopted-tombstone,forward-interleaving,dfs,3,30,5,1,found,1.07226,7958
adopted-tombstone,forward-interleaving,bfs-random,3,30,5,1,found,0.652214,4650
adopted-tombstone,forward-interleaving,dfs-random,3,30,5,1,found,0.063156,477
adopted-tombstone,interleaving,random,3,30,5,1,found,0.043243,10
adopted-tombstone,interleaving,bfs,3,30,5,1,found,0.480872,3373
adopted-tombstone,interleaving,dfs,3,30,5,1,found,0.377427,2619
adopted-tombstone,interleaving,bfs-random,3,30,5,1,found,0.207879,1404
adopted-tombstone,interleaving,dfs-random,3,30,5,1,found,0.06922,477
automerge,interleaving,random,3,30,5,1,found,0.00113,1
automerge,interleaving,bfs,3,30,5,1,found,0.028755,181
automerge,interleaving,dfs,3,30,5,1,found,0.095551,433
automerge,interleaving,bfs-random,3,30,5,1,found,0.025624,168
automerge,interleaving,dfs-random,3,30,5,1,found,0.011748,64
collabs,interleaving,random,3,30,5,1,found,0.022949,6
collabs,interleaving,bfs,3,30,5,1,exhausted,3.728147,13305
collabs,interleaving,dfs,3,30,5,1,exhausted,3.703348,13305
collabs,interleaving,bfs-random,3,30,5,1,exhausted,3.759832,13305
collabs,interleaving,dfs-random,3,30,5,1,exhausted,3.849761,13305
cot,forward-interleaving,random,3,30,5,1,found,0.009219,4
cot,forward-interleaving,bfs,3,30,5,1,exhausted,0.930396,8367
cot,forward-interleaving,dfs,3,30,5,1,exhausted,0.938593,8367
cot,forward-interleaving,bfs-random,3,30,5,1,exhausted,0.942727,8367
cot,forward-interleaving,dfs-random,3,30,5,1,exhausted,0.968472,8367
cot,interleaving,random,3,30,5,1,found,0.012715,4
