algorithm,property,clients,ops,seeds,violations,errors,timeouts,violation_rate,first_violation_seed,error_kind,aborted,seconds
dopt,convergence,3,3,2000,204,0,0,0.102,2,,0,0.14
dopt,convergence,3,2,2000,0,0,0,0.0,0,,0,0.16
dopt,convergence,3,5,2000,676,0,0,0.338,2,,0,0.2
dopt,convergence,3,4,2000,441,0,0,0.2205,2,,0,0.28
dopt,convergence,3,6,2000,935,0,0,0.4675,2,,0,0.31
dopt,convergence,3,8,2000,1380,0,0,0.69,1,,0,0.52
dopt,convergence,3,10,2000,1621,0,0,0.8105,1,,0,0.54
lbt,convergence,3,2,2000,0,0,0,0.0,0,,0,0.18
lbt,convergence,3,3,2000,0,0,0,0.0,0,,0,0.21
dopt,convergence,3,15,2000,1922,0,0,0.961,1,,0,1.08
lbt,convergence,3,4,2000,7,0,0,0.0035,435,,0,0.39
lbt,convergence,3,5,2000,16,0,0,0.008,51,,0,0.36
dopt,convergence,3,25,2000,1999,0,0,0.9995,1,,0,1.27
dopt,convergence,3,20,2000,1983,0,0,0.9915,1,,0,1.53
lbt,convergence,3,6,2000,29,0,0,0.0145,375,,0,0.64
dopt,convergence,3,30,2000,2000,0,0,1.0,1,,0,1.78
lbt,convergence,3,10,2000,121,0,0,0.0605,16,,0,0.94
lbt,convergence,3,8,2000,71,0,0,0.0355,185,,0,1.03
dopt,convergence,3,40,2000,2000,0,0,1.0,1,,0,3.56
lbt,convergence,3,15,2000,327,0,0,0.1635,2,,0,2.45
dopt,convergence,3,50,2000,2000,0,0,1.0,1,,0,3.63
sdt,convergence,3,2,2000,0,0,0,0.0,0,,0,0.13
sdt,convergence,3,3,2000,0,0,0,0.0,0,,0,0.32
sdt,convergence,3,4,2000,0,0,0,0.0,0,,0,0.28
sdt,convergence,3,5,2000,5,0,0,0.0025,217,,0,0.39
sdt,convergence,3,6,2000,10,0,0,0.005,217,,0,0.86
sdt,convergence,3,8,2000,21,0,0,0.0105,287,,0,0.94
sdt,convergence,3,10,2000,47,0,0,0.0235,99,,0,1.53
lbt,convergence,3,20,2000,621,0,0,0.3105,7,,0,6.66
sdt,convergence,3,15,2000,190,0,0,0.095,2,,0,4.3
lbt,convergence,3,25,2000,890,0,0,0.445,5,,0,11.22
lbt,convergence,3,30,2000,1146,0,0,0.573,5,,0,11.81
got,convergence,3,2,2000,0,0,0,0.0,0,,0,0.15
got,convergence,3,3,2000,0,0,0,0.0,0,,0,0.26
got,convergence,3,4,2000,9,0,0,0.0045,24,,0,0.37
got,convergence,3,5,2000,30,0,0,0.015,24,,0,0.37
got,convergence,3,6,2000,54,0,0,0.027,24,,0,0.72
sdt,convergence,3,20,2000,370,0,0,0.185,2,,0,10.57
got,convergence,3,8,2000,119,0,0,0.0595,13,,0,0.97
got,convergence,3,10,2000,194,0,0,0.097,7,,0,1.11
got,convergence,3,15,2000,403,0,0,0.2015,2,,0,2.64
got,convergence,3,20,2000,562,0,0,0.281,1,,0,4.23
sdt,convergence,3,25,2000,595,0,0,0.2975,5,,0,16.76
got,convergence,3,25,2000,729,0,0,0.3645,1,,0,6.85
lbt,convergence,3,40,2000,1496,0,0,0.748,2,,0,26.38
adopted-ressel,convergence,3,2,2000,0,0,0,0.0,0,,0,0.17
adopted-ressel,convergence,3,3,2000,0,0,0,0.0,0,,0,0.26
adopted-ressel,convergence,3,4,2000,0,0,0,0.0,0,,0,0.36
adopted-ressel,convergence,3,5,2000,4,0,0,0.002,217,,0,0.69
adopted-ressel,convergence,3,6,2000,3,0,0,0.0015,1767,,0,0.7
adopted-ressel,convergence,3,8,2000,8,0,0,0.004,341,,0,1.0
got,convergence,3,30,2000,862,0,0,0.431,1,,0,11.5
adopted-ressel,convergence,3,10,2000,19,0,0,0.0095,156,,0,1.58
adopted-ressel,convergence,3,15,2000,48,0,0,0.024,40,,0,3.23
adopted-ressel,convergence,3,20,2000,118,0,0,0.059,5,,0,5.97
adopted-ressel,convergence,3,25,2000,184,0,0,0.092,4,,0,9.85
got,convergence,3,40,2000,1074,0,0,0.537,1,,0,24.49
adopted-ressel,convergence,3,30,2000,250,0,0,0.125,4,,0,16.67
