algorithm,property,clients,ops,seeds,violations,errors,timeouts,violation_rate,first_violation_seed,error_kind,aborted,seconds
dopt,convergence,2,30,2000,1982,0,0,0.991,1,,0,0.63
dopt,convergence,3,30,2000,2000,0,0,1.0,1,,0,1.3
dopt,convergence,5,30,2000,2000,0,0,1.0,1,,0,2.21
dopt,convergence,4,30,2000,2000,0,0,1.0,1,,0,2.67
dopt,convergence,6,30,2000,2000,0,0,1.0,1,,0,4.54
lbt,convergence,2,30,2000,837,0,0,0.4185,1,,0,5.11
sdt,convergence,2,30,2000,537,0,0,0.2685,7,,0,9.67
lbt,convergence,3,30,2000,1146,0,0,0.573,5,,0,12.27
lbt,convergence,4,30,2000,1277,0,0,0.6385,1,,0,12.34
lbt,convergence,5,30,2000,1279,0,0,0.6395,2,,0,14.01
got,convergence,2,30,2000,674,0,0,0.337,10,,0,5.84
lbt,convergence,6,30,2000,1219,0,0,0.6095,1,,0,18.9
got,convergence,3,30,2000,862,0,0,0.431,1,,0,9.07
sdt,convergence,3,30,2000,795,0,0,0.3975,5,,0,21.89
adopted-ressel,convergence,2,30,2000,0,0,0,0.0,0,,0,4.2
got,convergence,4,30,2000,949,0,0,0.4745,3,,0,12.16
adopted-ressel,convergence,3,30,2000,250,0,0,0.125,4,,0,16.89
got,convergence,6,30,2000,937,0,0,0.4685,2,,0,24.21
got,convergence,5,30,2000,987,0,0,0.4935,5,,0,28.57
adopted-ressel,convergence,4,30,2000,423,0,0,0.2115,2,,0,32.84
sdt,convergence,5,30,2000,992,0,0,0.496,2,,0,56.25
sdt,convergence,4,30,2000,1001,0,0,0.5005,2,,0,62.28
sync7,convergence,2,30,2000,0,0,0,0.0,0,,0,24.93
sdt,convergence,6,30,2000,1052,0,0,0.526,1,,0,61.82
cot,strong-list-spec,2,30,2000,17,0,0,0.0085,101,,0,6.08
adopted-ressel,convergence,5,30,2000,508,0,0,0.254,3,,0,55.36
cot,strong-list-spec,3,30,2000,193,0,0,0.0965,1,,0,15.85
cot,strong-list-spec,4,30,2000,304,0,0,0.152,5,,0,29.88
jupiter,strong-list-spec,2,30,2000,49,0,0,0.0245,90,,0,1.63
jupiter,strong-list-spec,3,30,2000,282,0,0,0.141,5,,0,2.66
jupiter,strong-list-spec,4,30,2000,331,0,0,0.1655,5,,0,4.13
jupiter,strong-list-spec,5,30,2000,327,0,0,0.1635,24,,0,5.73
adopted-ressel,convergence,6,30,2000,597,0,0,0.2985,4,,0,82.16
cot,strong-list-spec,5,30,2000,328,0,0,0.164,10,,0,41.88
jupiter,strong-list-spec,6,30,2000,299,0,0,0.1495,1,,0,6.04
easysync,strong-list-spec,2,30,2000,2,0,0,0.001,745,,0,3.93
easysync,strong-list-spec,3,30,2000,132,0,0,0.066,19,,0,3.64
easysync,strong-list-spec,4,30,2000,174,0,0,0.087,18,,0,7.19
sharedb,strong-list-spec,2,30,2000,2,0,0,0.001,745,,0,1.78
sharedb,strong-list-spec,3,30,2000,115,0,0,0.0575,5,,0,2.85
easysync,strong-list-spec,5,30,2000,158,0,0,0.079,10,,0,11.95
sharedb,strong-list-spec,4,30,2000,156,0,0,0.078,4,,0,3.75
sharedb,strong-list-spec,5,30,2000,152,0,0,0.076,4,,0,4.74
easysync,strong-list-spec,6,30,2000,183,0,0,0.0915,7,,0,17.27
sync7,convergence,3,30,2000,90,0,0,0.045,1,,0,98.63
tibot,strong-list-spec,2,30,2000,13,0,0,0.0065,45,,0,1.89
sharedb,strong-list-spec,6,30,2000,164,0,0,0.082,10,,0,5.63
tibot,strong-list-spec,3,30,2000,73,0,0,0.0365,22,,0,5.18
soct4,strong-list-spec,2,30,2000,2,0,0,0.001,1145,,0,2.57
tibot,strong-list-spec,4,30,2000,24,0,0,0.012,170,,0,8.29
tibot,strong-list-spec,5,30,2000,15,0,0,0.0075,19,,0,7.64
cot,strong-list-spec,6,30,2000,314,0,0,0.157,16,,0,66.04
soct4,strong-list-spec,3,30,2000,76,0,0,0.038,42,,0,4.68
soct4,strong-list-spec,5,30,2000,119,0,0,0.0595,45,,0,5.31
soct4,strong-list-spec,4,30,2000,128,0,0,0.064,8,,0,7.06
treedoc,forward-interleaving,3,30,2000,1535,0,0,0.7675,2,,0,2.45
tibot,strong-list-spec,6,30,2000,16,0,0,0.008,596,,0,15.45
treedoc,forward-interleaving,2,30,2000,1064,0,0,0.532,1,,0,4.9
soct4,strong-list-spec,6,30,2000,134,0,0,0.067,3,,0,6.86
treedoc,forward-interleaving,5,30,2000,1842,0,0,0.921,1,,0,2.85
logoot,forward-interleaving,3,30,2000,1315,0,0,0.6575,1,,0,2.34
treedoc,forward-interleaving,4,30,2000,1750,0,0,0.875,1,,0,4.54
treedoc,forward-interleaving,6,30,2000,1891,0,0,0.9455,1,,0,3.19
logoot,forward-interleaving,4,30,2000,1615,0,0,0.8075,1,,0,2.41
logoot,forward-interleaving,2,30,2000,802,0,0,0.401,6,,0,4.64
logoot,forward-interleaving,5,30,2000,1718,0,0,0.859,1,,0,2.76
lseq,forward-interleaving,3,30,2000,1209,0,0,0.6045,1,,0,2.52
lseq,forward-interleaving,2,30,2000,682,0,0,0.341,1,,0,4.78
lseq,forward-interleaving,5,30,2000,1630,0,0,0.815,1,,0,2.97
logoot,forward-interleaving,6,30,2000,1776,0,0,0.888,1,,0,5.42
lseq,forward-interleaving,4,30,2000,1468,0,0,0.734,1,,0,4.84
lseq,forward-interleaving,6,30,2000,1731,0,0,0.8655,1,,0,3.39
woot,forward-interleaving,2,30,2000,0,0,0,0.0,0,,0,8.28
woot,forward-interleaving,3,30,2000,298,0,0,0.149,10,,0,9.29
soct3,forward-interleaving,2,30,2000,0,0,0,0.0,0,,0,3.72
sync7,convergence,4,30,2000,202,0,0,0.101,7,,0,124.14
soct3,forward-interleaving,3,30,2000,143,0,0,0.0715,4,,0,7.72
woot,forward-interleaving,4,30,2000,557,0,0,0.2785,4,,0,17.53
soct4,forward-interleaving,2,30,2000,0,0,0,0.0,0,,0,3.29
woot,forward-interleaving,6,30,2000,888,0,0,0.444,1,,0,20.18
soct3,forward-interleaving,4,30,2000,224,0,0,0.112,8,,0,11.33
woot,forward-interleaving,5,30,2000,760,0,0,0.38,3,,0,22.65
soct4,forward-interleaving,3,30,2000,135,0,0,0.0675,84,,0,6.12
soct4,forward-interleaving,4,30,2000,205,0,0,0.1025,1,,0,6.72
soct3,forward-interleaving,5,30,2000,243,0,0,0.1215,9,,0,18.87
soct4,forward-interleaving,5,30,2000,252,0,0,0.126,47,,0,8.33
rga,interleaving,3,30,2000,1507,0,0,0.7535,1,,0,3.19
rga,interleaving,4,30,2000,1725,0,0,0.8625,1,,0,3.19
rga,interleaving,2,30,2000,973,0,0,0.4865,2,,0,7.15
rga,interleaving,5,30,2000,1831,0,0,0.9155,1,,0,3.6
rga,interleaving,6,30,2000,1888,0,0,0.944,1,,0,3.52
yjs,interleaving,2,30,2000,0,0,0,0.0,0,,0,6.77
soct4,forward-interleaving,6,30,2000,256,0,0,0.128,14,,0,19.17
yjs,interleaving,4,30,2000,444,0,0,0.222,4,,0,9.72
yjs,interleaving,5,30,2000,621,0,0,0.3105,1,,0,9.26
yjs,interleaving,3,30,2000,239,0,0,0.1195,11,,0,11.16
soct3,forward-interleaving,6,30,2000,230,0,0,0.115,4,,0,31.39
yjs,interleaving,6,30,2000,692,0,0,0.346,1,,0,9.42
loro,interleaving,3,30,2000,157,0,0,0.0785,16,,0,7.75
loro,interleaving,2,30,2000,0,0,0,0.0,0,,0,11.73
loro,interleaving,4,30,2000,257,0,0,0.1285,4,,0,11.83
loro,interleaving,6,30,2000,346,0,0,0.173,1,,0,13.64
loro,interleaving,5,30,2000,342,0,0,0.171,1,,0,17.11
collabs,interleaving,3,30,2000,117,0,0,0.0585,6,,0,14.37
collabs,interleaving,2,30,2000,0,0,0,0.0,0,,0,17.47
